,extracted_reference,top_match,top_names,top_scores,top_indexes,second_match,second_names,second_scores,second_indexes,third_match
40,fleming-crystal-marie-2017-resurrecting-slavery-racial-legacies-and-white-supremacy-in-france-philadelphia-temple-university-press,"('beaman-book-review-resurrecting-slavery-racial-legacies-and-white-supremacy-in-france', 69.76744186046511, 64044)",beaman-book-review-resurrecting-slavery-racial-legacies-and-white-supremacy-in-france,69.76744186046511,64044,"('thornhill-resurrecting-slavery-racial-legacies-and-white-supremacy-in-france-by-crystal-marie-fleming-philadelphia-temple-university-press-2017-pp-xi-276-99-50-cloth-34-95-paper', 69.70684039087948, 29640)",thornhill-resurrecting-slavery-racial-legacies-and-white-supremacy-in-france-by-crystal-marie-fleming-philadelphia-temple-university-press-2017-pp-xi-276-99-50-cloth-34-95-paper,69.70684039087948,29640,"('matlon-resurrecting-slavery-racial-legacies-and-white-supremacy-in-france', 68.96551724137932, 254371)"
41,flores-david-2016-from-prowar-soldier-to-antiwar-activist-change-and-continuity-in-the-narratives-of-political-conversion-among-iraq-war-veterans-symbolic-interaction-39-2-196-212-freedman-sarah-warshauer-harvey-m-weinstein-karen-murphy-and-timothy,"('flores-from-prowar-soldier-to-antiwar-activist-change-and-continuity-in-the-narratives-of-political-conversion-among-iraq-war-veterans', 70.15706806282722, 160744)",flores-from-prowar-soldier-to-antiwar-activist-change-and-continuity-in-the-narratives-of-political-conversion-among-iraq-war-veterans,70.15706806282722,160744,"('aavik-the-most-important-decisions-are-made-in-the-sauna-the-role-of-social-capital-in-creating-intersectional-privilege-in-the-career-narratives-of-estonian-male-managers', 47.25536992840096, 133823)",aavik-the-most-important-decisions-are-made-in-the-sauna-the-role-of-social-capital-in-creating-intersectional-privilege-in-the-career-narratives-of-estonian-male-managers,47.25536992840096,133823,"('grayson-macro-political-structures-change-and-stasis-in-undergraduates-political-identities-in-canada-and-the-united-states-a-comparative-historical-analysis', 45.925925925925924, 231903)"
42,longman-2008-teaching-history-after-identity-based-conflicts-the-rwanda-experience-comparative-education-review-52-4-663-90,"('bindamnan-schooling-as-uncertainty-an-ethnographic-memoir-in-comparative-education', 52.6829268292683, 184390)",bindamnan-schooling-as-uncertainty-an-ethnographic-memoir-in-comparative-education,52.6829268292683,184390,"('singh-managing-national-diversity-through-political-structures-and-ideologies-the-soviet-experience-in-comparative-perspective', 52.208835341365464, 119180)",singh-managing-national-diversity-through-political-structures-and-ideologies-the-soviet-experience-in-comparative-perspective,52.208835341365464,119180,"('samatar-ethnic-federalism-the-ethiopian-experience-in-comparative-perspective-by-david-turton-ed', 52.05479452054795, 119887)"
43,fujii-lee-ann-2017-interviewing-in-social-science-research-a-relational-approach-london-routledge,"('-du-bois-review-social-science-research-on-race', 55.55555555555556, 184913)",-du-bois-review-social-science-research-on-race,55.55555555555556,184913,"('-du-bois-review-social-science-research-on-race', 55.55555555555556, 184965)",-du-bois-review-social-science-research-on-race,55.55555555555556,184965,"('allen-collinson-social-science-contract-researchers-in-higher-education-perceptions-of-craft-knowledge', 55.27638190954774, 41482)"
44,gardiner-michael-e-2012-henri-lefebvre-and-the-sociology-of-boredom-theory-culture-and-society-29-2-37-62,"('swartz-michael-polanyi-and-the-sociology-of-a-free-society', 56.44171779141105, 217236)",swartz-michael-polanyi-and-the-sociology-of-a-free-society,56.44171779141105,217236,"('manzenreiter-assessing-the-sociology-of-sport-on-culture-and-political-economy', 54.64480874316939, 116507)",manzenreiter-assessing-the-sociology-of-sport-on-culture-and-political-economy,54.64480874316939,116507,"('vaisey-welcome-to-the-real-world-escaping-the-sociology-of-culture-and-cognition', 54.054054054054056, 150711)"
45,goldberg-yael-k-john-d-eastwood-jennifer-laguardia-and-james-danckert-2011-boredom-an-emotional-experience-distinct-from-apathy-anhedonia-or-depression-journal-of-social-and-clinical-psychology-30-6-647-66,"('demarinis-the-nature-and-role-of-religion-and-religious-experience-in-psychological-cross-cultural-adjustment-ongoing-research-in-the-clinical-psychology-of-religion', 47.56756756756757, 196985)",demarinis-the-nature-and-role-of-religion-and-religious-experience-in-psychological-cross-cultural-adjustment-ongoing-research-in-the-clinical-psychology-of-religion,47.56756756756757,196985,"('lawton-change-of-authorship-intergenerational-solidarity-and-the-structure-of-adult-child-parent-relationships-in-american-families-american-journal-of-sociology-103-2-429-60', 45.910290237467024, 26094)",lawton-change-of-authorship-intergenerational-solidarity-and-the-structure-of-adult-child-parent-relationships-in-american-families-american-journal-of-sociology-103-2-429-60,45.910290237467024,26094,"('hempel-jorgensen-the-construction-of-the-ideal-pupil-and-pupils-perceptions-of-misbehaviour-and-discipline-contrasting-experiences-from-a-low-socio-economic-and-a-high-socio-economic-primary-school', 45.77114427860697, 129303)"
46,gorski-paul-c-2019-racial-battle-fatigue-and-activist-burnout-in-racial-justice-activists-of-color-at-predominately-white-colleges-and-universities-race-ethnicity-and-education-22-1-1-20,"('brunsma-teaching-race-at-historically-white-colleges-and-universities-identifying-and-dismantling-the-walls-of-whiteness', 50.98039215686274, 147321)",brunsma-teaching-race-at-historically-white-colleges-and-universities-identifying-and-dismantling-the-walls-of-whiteness,50.98039215686274,147321,"('uecker-social-context-and-sexual-intercourse-among-first-year-students-at-selective-colleges-and-universities-in-the-united-states', 50.63291139240506, 91591)",uecker-social-context-and-sexual-intercourse-among-first-year-students-at-selective-colleges-and-universities-in-the-united-states,50.63291139240506,91591,"('owens-black-and-hispanic-immigrants-resilience-against-negative-ability-racial-stereotypes-at-selective-colleges-and-universities-in-the-united-states', 50.595238095238095, 36933)"
47,hagerman-margaret-ann-2014-white-families-and-race-colour-blind-and-colourconscious-approaches-to-white-racial-socialization-ethnic-and-racial-studies-37-14,"('hagerman-white-families-and-race-colour-blind-and-colour-conscious-approaches-to-white-racial-socialization', 80.6083650190114, 93015)",hagerman-white-families-and-race-colour-blind-and-colour-conscious-approaches-to-white-racial-socialization,80.6083650190114,93015,"('martiniello-visual-sociology-approaches-in-migration-ethnic-and-racial-studies', 54.700854700854705, 94021)",martiniello-visual-sociology-approaches-in-migration-ethnic-and-racial-studies,54.700854700854705,94021,"('bhattacharyya-in-defence-of-amateurism-on-not-professionalizing-ethnic-and-racial-studies', 53.06122448979591, 95634)"
48,2598-614-halberstadt-amy-g-vanessa-l-castro-qiao-chu-fantasy-t-lozada-and-calvin,"('bergstrand-the-advantaged-cause-affect-control-theory-and-social-movements', 48.05194805194806, 23996)",bergstrand-the-advantaged-cause-affect-control-theory-and-social-movements,48.05194805194806,23996,"('nadasdy-the-radiant-past-idology-and-reality-in-hungary-s-road-to-capitalism', 47.43589743589743, 46086)",nadasdy-the-radiant-past-idology-and-reality-in-hungary-s-road-to-capitalism,47.43589743589743,46086,"('halperin-still-hands-celia-s-transgression-in-cristina-garcia-s-dreaming-in-cuban', 47.20496894409938, 225740)"
49,m-sims-2018-preservice-teachers-racialized-emotion-recognition-anger-bias-and-hostility-attributions-contemporary-educational-psychology-54-125-38,"(""o'brien-re-examining-restructuring-racialization-religious-conservatism-and-political-leanings-in-contemporary-american-life"", 51.11111111111111, 17586)",o'brien-re-examining-restructuring-racialization-religious-conservatism-and-political-leanings-in-contemporary-american-life,51.11111111111111,17586,"('maynard-using-leisure-services-to-build-social-capital-in-later-life-classical-traditions-contemporary-realities-and-emerging-possibilities', 50.526315789473685, 52927)",maynard-using-leisure-services-to-build-social-capital-in-later-life-classical-traditions-contemporary-realities-and-emerging-possibilities,50.526315789473685,52927,"('mead-proper-recognition-personhood-and-symbolic-capital-in-contemporary-sociology', 50.22026431718062, 141093)"
50,hochschild-arlie-russell-2012-the-managed-heart-commercialization-of-human-feeling-oakland-university-of-california-press,"('massoud-shariah-on-trial-northern-nigeria-s-islamic-revolution-by-saraheltantawi-oakland-university-of-california-press-2017', 57.9591836734694, 65108)",massoud-shariah-on-trial-northern-nigeria-s-islamic-revolution-by-saraheltantawi-oakland-university-of-california-press-2017,57.9591836734694,65108,"('laidler-caught-up-girls-surveillance-and-wraparound-incarceration-by-jerry-flores-oakland-ca-university-of-california-press-2016', 57.831325301204814, 65482)",laidler-caught-up-girls-surveillance-and-wraparound-incarceration-by-jerry-flores-oakland-ca-university-of-california-press-2016,57.831325301204814,65482,"('eagly-protect-serve-and-deport-the-rise-of-policing-as-immigration-enforcement-by-amada-armenta-oakland-university-of-california-press-2017', 57.692307692307686, 65480)"
51,hochschild-arlie-russell-2018-strangers-in-their-own-land-anger-and-mourning-on-the-american-right-new-york-new-press,"('mayer-the-politics-of-estrangement-arlie-russell-hochschild-strangers-in-their-own-land-anger-and-mourning-on-the-american-right-new-york-london-the-new-press-2016', 76.42857142857142, 181847)",mayer-the-politics-of-estrangement-arlie-russell-hochschild-strangers-in-their-own-land-anger-and-mourning-on-the-american-right-new-york-london-the-new-press-2016,76.42857142857142,181847,"('elliott-hochschild-a-r-strangers-in-their-own-land-anger-and-mourning-on-the-american-right-2016-new-press-351-pp-us-27-95-hardback', 75.80645161290323, 126800)",elliott-hochschild-a-r-strangers-in-their-own-land-anger-and-mourning-on-the-american-right-2016-new-press-351-pp-us-27-95-hardback,75.80645161290323,126800,"('polletta-strangers-in-their-own-land-anger-and-mourning-on-the-american-right-by-arlie-russell-hochschild-new-york-new-press-2016-pp-xii-351-27-95', 69.96197718631178, 25613)"
52,hughes-diane-james-rodriguez-emilie-p-smith-deborah-j-johnson-howard-c-stevenson-and-paul-spicer-2006-parents-ethnic-racial-socialization-practices-a-review-of-research-and-directions-for-future-study-developmental-psychology-42-5-747,"('ascione-children-who-are-cruel-to-animals-a-review-of-research-and-implications-for-developmental-psychopathology', 51.873198847262245, 158860)",ascione-children-who-are-cruel-to-animals-a-review-of-research-and-implications-for-developmental-psychopathology,51.873198847262245,158860,"('slavikova-characteristics-and-personality-styles-of-women-who-seek-incarcerated-men-as-romantic-partners-survey-results-and-directions-for-future-research', 47.42268041237113, 163055)",slavikova-characteristics-and-personality-styles-of-women-who-seek-incarcerated-men-as-romantic-partners-survey-results-and-directions-for-future-research,47.42268041237113,163055,"('grindal-an-examination-of-ethnic-identity-and-academic-performance-assessing-the-multidimensional-role-of-parental-ethnic-racial-socialization-among-a-sample-of-latino-adolescents', 46.973365617433416, 61896)"
53,illouz-eva-1997-consuming-the-romantic-utopia-love-and-the-cultural-contradictions-of-capitalism-oakland-university-of-california-press,"('gottfried-consuming-the-romantic-utopia-love-and-the-cultural-contradictions-of-capitalism-by-eva-illouz-university-of-california-press-1997-386-pp-cloth-45-00-paper-17-95', 76.47058823529412, 20192)",gottfried-consuming-the-romantic-utopia-love-and-the-cultural-contradictions-of-capitalism-by-eva-illouz-university-of-california-press-1997-386-pp-cloth-45-00-paper-17-95,76.47058823529412,20192,"('ahuvia-consuming-the-romantic-utopia-love-and-the-cultural-contradictions-of-capitalism', 75.67567567567568, 10908)",ahuvia-consuming-the-romantic-utopia-love-and-the-cultural-contradictions-of-capitalism,75.67567567567568,10908,"('turner-consuming-the-romantic-utopia-love-and-the-cultural-contradictions-of-capitalism-by-eva-illouz', 75.42372881355932, 152697)"
54,islam-asiya-2020-it-gets-really-boring-if-you-stay-at-home-women-work-and,"('islam-it-gets-really-boring-if-you-stay-at-home-women-work-and-temporalities-in-urban-india', 75.60975609756098, 68030)",islam-it-gets-really-boring-if-you-stay-at-home-women-work-and-temporalities-in-urban-india,75.60975609756098,68030,"('shah-the-social-stigmatization-of-stay-at-home-fathers-in-pakistan', 50.35971223021583, 88045)",shah-the-social-stigmatization-of-stay-at-home-fathers-in-pakistan,50.35971223021583,88045,"('subramaniam-empathy-in-research-process-study-of-women-in-sex-work-in-india', 50.0, 141509)"
55,temporalities-in-urban-india-sociology-54-5-0038038520934995,"('stoltz-rising-coauthorship-in-sociology-1895-to-2022', 53.57142857142857, 24174)",stoltz-rising-coauthorship-in-sociology-1895-to-2022,53.57142857142857,24174,"('dunne-the-politics-of-figurational-sociology', 51.92307692307692, 98238)",dunne-the-politics-of-figurational-sociology,51.92307692307692,98238,"('-reviewers-assisting-international-sociology-in-2013', 51.78571428571428, 133517)"
56,johnsen-rasmus-2016-boredom-and-organization-studies-organization-studies-37-10,"('scott-prodigal-offspring-organizational-sociology-and-organization-studies', 58.82352941176471, 140991)",scott-prodigal-offspring-organizational-sociology-and-organization-studies,58.82352941176471,140991,"('perrow-an-organizational-analysis-of-organizational-theory', 58.3941605839416, 245046)",perrow-an-organizational-analysis-of-organizational-theory,58.3941605839416,245046,"('clegg-agency-and-organization-towards-an-organizational-theory-of-society', 56.57894736842105, 126767)"
57,1403-15,"('-reviewers-2014-15', 40.0, 52267)",-reviewers-2014-15,40.0,52267,"('-index-pages-210-215', 37.03703703703704, 74588)",-index-pages-210-215,37.03703703703704,74588,"('zetka-the-cio-1935-1955', 33.333333333333336, 251960)"
58,johnstone-frederick-a-1976-class-race-and-gold-a-study-of-class-relations-and-racial-discrimination-in-south-africa-new-york-routledge,"('brown-theres-no-race-on-the-playing-field-perceptions-of-racial-discrimination-among-white-and-black-athletes', 54.32098765432099, 118468)",brown-theres-no-race-on-the-playing-field-perceptions-of-racial-discrimination-among-white-and-black-athletes,54.32098765432099,118468,"('hodge-a-case-study-of-mortgage-refinancing-discrimination-african-american-intergenerational-wealth', 54.077253218884124, 143241)",hodge-a-case-study-of-mortgage-refinancing-discrimination-african-american-intergenerational-wealth,54.077253218884124,143241,"('emery-class-and-race-domination-and-transformation-in-south-africa', 54.0, 148064)"
59,kemper-theodore-d-1978-toward-a-sociology-of-emotions-some-problems-and-some-solutions-american-sociologist-13-1-30-41,"('huebner-toward-a-sociology-of-the-state-and-war-emil-lederer-s-political-sociology', 54.0, 181339)",huebner-toward-a-sociology-of-the-state-and-war-emil-lederer-s-political-sociology,54.0,181339,"('singer-towards-a-sociology-of-standards-problems-of-a-criterial-society', 53.968253968253975, 212402)",singer-towards-a-sociology-of-standards-problems-of-a-criterial-society,53.968253968253975,212402,"('kjaer-book-review-a-sociology-of-constitutions-constitutions-and-state-legitimacy-in-historical-sociological-perspective', 53.78151260504202, 128046)"
60,kemper-theodore-d-1981-social-constructionist-and-positivist-approaches-to-the-sociology-of-emotions-american-journal-of-sociology-87-2-336-62,"('köhler-reconstruction-and-restoration-the-legacies-of-post-war-german-industrial-sociology', 54.310344827586206, 39667)",köhler-reconstruction-and-restoration-the-legacies-of-post-war-german-industrial-sociology,54.310344827586206,39667,"('eder-the-social-construction-of-nature-a-sociology-of-ecological-enlightenment', 53.63636363636364, 16762)",eder-the-social-construction-of-nature-a-sociology-of-ecological-enlightenment,53.63636363636364,16762,"('jasper-the-social-construction-of-nature-a-sociology-of-ecological-enlightenment', 53.153153153153156, 257084)"
61,kiguwa-peace-2006-the-rainbow-nation-constructs-of-national-identity-in-postapartheid-south-africa-pp-317-34-in-a-race-against-time-psychology-and-challenges-to-deracialisation-in-south-africa-edited-by-garth-stevens-vije-franchi-and-tanya-swart-pretoria-unisa-press,"('leonard-the-network-society-power-and-the-print-media-in-post-apartheid-south-africa-the-case-of-media-contestation-in-durban-for-environmental-justice', 47.48201438848921, 48090)",leonard-the-network-society-power-and-the-print-media-in-post-apartheid-south-africa-the-case-of-media-contestation-in-durban-for-environmental-justice,47.48201438848921,48090,"('pavlutkin-three-sagas-of-economics-or-traits-of-professional-cuisine-book-review-on-fourcade-m-2009-economists-and-societies-discipline-and-profession-in-the-united-states-britain-and-france-1890s-to-1990s-princeton-princeton-university-press', 47.24409448818898, 155201)",pavlutkin-three-sagas-of-economics-or-traits-of-professional-cuisine-book-review-on-fourcade-m-2009-economists-and-societies-discipline-and-profession-in-the-united-states-britain-and-france-1890s-to-1990s-princeton-princeton-university-press,47.24409448818898,155201,"('green-aid-made-markets-enclaves-entrepreneurs-and-opportunity-in-the-east-african-pharmaceutical-industry-nitsan-chorev-give-and-take-developmental-foreign-aid-and-the-pharmaceutical-industry-in-east-africa-princeton-princeton-university-press-2020-305-p', 46.53846153846154, 181934)"
62,lamont-michele-graziella-moraes-silva-jessica-welburn-joshua-guetzkow-nissim,"('lamont-claims-to-fame-celebrity-in-contemporary-america-joshua-gamson', 49.6551724137931, 28961)",lamont-claims-to-fame-celebrity-in-contemporary-america-joshua-gamson,49.6551724137931,28961,"('-michele-lamont-graziella-moraes-silva-jessica-s-wellburn-joshua-gruetzkow-nissim-mizrachi-hanna-herzog-elisa-reis-getting-respect-responding-to-stigma-and-discrimination-in-the-united-states-brazil-and-israel', 49.122807017543856, 96921)",-michele-lamont-graziella-moraes-silva-jessica-s-wellburn-joshua-gruetzkow-nissim-mizrachi-hanna-herzog-elisa-reis-getting-respect-responding-to-stigma-and-discrimination-in-the-united-states-brazil-and-israel,49.122807017543856,96921,"('gilliam-the-brazilian-mulata-images-in-the-global-economy', 48.1203007518797, 84387)"
63,mizrachi-hanna-herzog-and-elisa-reis-2016-getting-respect-princeton-n-j-princeton-university-press,"('goldman-friction-an-ethnography-of-global-connections-by-anna-tsing-princeton-n-j-princeton-university-press-2005', 62.55924170616114, 27053)",goldman-friction-an-ethnography-of-global-connections-by-anna-tsing-princeton-n-j-princeton-university-press-2005,62.55924170616114,27053,"('riley-smith-michael-bonner-jihad-in-islamic-history-doctrines-and-practice-princeton-princeton-university-press-2006', 61.68224299065421, 211273)",riley-smith-michael-bonner-jihad-in-islamic-history-doctrines-and-practice-princeton-princeton-university-press-2006,61.68224299065421,211273,"('preda-on-sarah-l-quinns-american-bonds-how-credit-markets-shaped-a-nation-princeton-nj-princeton-university-press-2019', 61.111111111111114, 37974)"
64,american-journal-of-sociology,"('-american-journal-of-cultural-sociology', 85.29411764705883, 75240)",-american-journal-of-cultural-sociology,85.29411764705883,75240,"('-american-journal-of-economics-and-sociology', 79.45205479452055, 207380)",-american-journal-of-economics-and-sociology,79.45205479452055,207380,"('-the-british-journal-of-sociology', 77.41935483870968, 125683)"
65,lemanski-charlotte-2004-a-new-apartheid-the-spatial-implications-of-fear-of-crime-in-cape-town-south-africa-environment-and-urbanization-16-2-101-12,"('altukhov-the-new-sporting-cold-war-implications-of-the-russian-doping-allegations-for-international-relations-and-sport', 50.936329588014985, 179250)",altukhov-the-new-sporting-cold-war-implications-of-the-russian-doping-allegations-for-international-relations-and-sport,50.936329588014985,179250,"('faley-when-culture-and-the-law-clash-a-primer-on-the-extraterritorial-implications-of-u-s-anti-discrimination-rules-and-regulations', 50.896057347670244, 76774)",faley-when-culture-and-the-law-clash-a-primer-on-the-extraterritorial-implications-of-u-s-anti-discrimination-rules-and-regulations,50.896057347670244,76774,"('gilkes-go-and-tell-mary-and-martha-the-spirituals-biblical-options-for-women-and-cultural-tensions-in-the-african-american-religious-experience', 50.85910652920962, 196731)"
66,lepera-nicole-2011-relationships-between-boredom-proneness-mindfulness-anxiety-depression-and-substance-use-new-school-psychology-bulletin-8-2-15-25,"('zhang-the-relationship-between-perceived-stress-and-adolescent-depression-the-roles-of-social-support-and-gender', 52.3076923076923, 57395)",zhang-the-relationship-between-perceived-stress-and-adolescent-depression-the-roles-of-social-support-and-gender,52.3076923076923,57395,"('hakak-undesirable-relationships-between-jewish-women-and-arab-men-representation-and-discourse-in-contemporary-israel', 52.075471698113205, 94061)",hakak-undesirable-relationships-between-jewish-women-and-arab-men-representation-and-discourse-in-contemporary-israel,52.075471698113205,94061,"('spruyt-when-individual-differences-meet-society-on-the-complex-relationships-between-boredom-proneness-material-deprivation-and-aspects-of-subjective-well-being-among-young-adolescents', 51.80722891566265, 135206)"
67,little-vivienne-1990-a-national-curriculum-in-history-a-very-contentious-issue-british-journal-of-educational-studies-38-4-319-34,"('mathur-rejoinder-to-the-book-review-consumer-culture-modernity-and-identity-dev-pathak-journal-of-intercultural-studies-36-2-241-243', 50.57471264367817, 195112)",mathur-rejoinder-to-the-book-review-consumer-culture-modernity-and-identity-dev-pathak-journal-of-intercultural-studies-36-2-241-243,50.57471264367817,195112,"('lie-numbering-the-nationalities-ethnic-minorities-in-norwegian-population-censuses-1845-1930', 49.7737556561086, 93835)",lie-numbering-the-nationalities-ethnic-minorities-in-norwegian-population-censuses-1845-1930,49.7737556561086,93835,"('lucchini-the-weight-of-the-genetic-and-environmental-dimensions-in-the-inter-generational-transmission-of-educational-success', 49.60629921259843, 51488)"
68,loewen-james-w-2007-lies-my-teacher-told-me-everything-your-american-history-textbook-got-wrong-new-york-touchstone,"('replogle-desis-in-the-house-indian-american-youth-culture-in-new-york-city', 49.735449735449734, 257177)",replogle-desis-in-the-house-indian-american-youth-culture-in-new-york-city,49.735449735449734,257177,"('jelen-what-does-the-lord-require-how-american-christians-think-about-economic-justice', 49.0, 168026)",jelen-what-does-the-lord-require-how-american-christians-think-about-economic-justice,49.0,168026,"('corona-book-review-kaplan-r-d-2007-hog-pilots-blue-water-grunts-the-american-military-in-the-air-at-sea-and-on-the-ground-new-york-random-house', 48.837209302325576, 178401)"
69,loseke-donileen-r-2007-the-study-of-identity-as-cultural-institutional-organizational-and-personal-narratives-theoretical-and-empirical-integrations-sociological-quarterly-48-4-661-88,"('loseke-the-study-of-identity-as-cultural-institutional-organizational-and-personal-narratives-theoretical-and-empirical-integrations', 83.80952380952381, 187642)",loseke-the-study-of-identity-as-cultural-institutional-organizational-and-personal-narratives-theoretical-and-empirical-integrations,83.80952380952381,187642,"('perna-bound-between-care-and-control-institutional-contradictions-and-daily-practices-of-healthcare-for-migrants-in-an-irregular-situation-in-italy', 50.90909090909091, 94083)",perna-bound-between-care-and-control-institutional-contradictions-and-daily-practices-of-healthcare-for-migrants-in-an-irregular-situation-in-italy,50.90909090909091,94083,"('moorhouse-stein-the-index-of-identity-group-institutionalization-a-new-tool-to-quantify-the-institutionalization-of-identity-groups-in-democratic-societies', 50.88757396449704, 61295)"
70,loseke-donileen-r-2009-examining-emotion-as-discourse-emotion-codes-and-presidential-speeches-justifying-war-sociological-quarterly-50-3-497-524,"('loseke-examining-emotion-as-discourse-emotion-codes-and-presidential-speeches-justifying-war', 77.96610169491525, 187751)",loseke-examining-emotion-as-discourse-emotion-codes-and-presidential-speeches-justifying-war,77.96610169491525,187751,"('ambarova-social-fragmentation-of-communities-in-modern-russia-in-search-of-a-sociological-theory', 50.0, 228790)",ambarova-social-fragmentation-of-communities-in-modern-russia-in-search-of-a-sociological-theory,50.0,228790,"('berezin-exploring-emotions-and-the-economy-new-contributions-from-sociological-theory', 49.78165938864629, 70943)"
71,maines-david-r-1993-narratives-moment-and-sociologys-phenomena-toward-a-narrative-sociology-sociological-quarterly-34-1-17-38,"('kansas-divided-nations-democracy-in-an-age-of-populism-a-special-collection-of-articles-for-the-sociological-quarterly', 53.49794238683128, 188544)",kansas-divided-nations-democracy-in-an-age-of-populism-a-special-collection-of-articles-for-the-sociological-quarterly,53.49794238683128,188544,"('smith-divided-nations-democracy-in-an-age-of-populism-a-special-collection-of-articles-for-the-sociological-quarterly', 52.892561983471076, 188703)",smith-divided-nations-democracy-in-an-age-of-populism-a-special-collection-of-articles-for-the-sociological-quarterly,52.892561983471076,188703,"('longo-fiction-and-social-reality-literature-and-narrative-as-sociological-resources', 52.88461538461539, 248779)"
72,martin-susan-ehrlich-1999-police-force-or-police-service-gender-and-emotional-labor-annals-of-the-american-academy-of-political-and-social-science-561-1-111-26,"('albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime', 57.25190839694656, 252158)",albonetti-annals-of-the-american-academy-of-political-and-social-sciences-volume-525-white-collar-crime,57.25190839694656,252158,"('krings-the-political-economy-of-the-service-transition-varieties-of-liberalization-and-the-new-politics-of-social-solidarity', 50.17667844522968, 7022)",krings-the-political-economy-of-the-service-transition-varieties-of-liberalization-and-the-new-politics-of-social-solidarity,50.17667844522968,7022,"('tibi-the-return-of-the-sacred-to-politics-as-a-constitutional-law-br-the-case-of-the-shari-atization-of-politics-in-islamic-civilization', 50.16949152542372, 232016)"
73,marx-anthony-w-1998-making-race-and-nation-a-comparison-of-south-africa-the-united-states-and-brazil-cambridge-cambridge-university-press,"('guy-making-race-and-nation-a-comparison-of-south-africa-the-united-states-and-brazil-by-anthony-w-marx-cambridge-university-press-1998-398-pp-cloth-29-95', 77.93103448275862, 20144)",guy-making-race-and-nation-a-comparison-of-south-africa-the-united-states-and-brazil-by-anthony-w-marx-cambridge-university-press-1998-398-pp-cloth-29-95,77.93103448275862,20144,"('guy-making-race-and-nation-a-comparison-of-south-africa-the-united-states-and-brazil', 74.2081447963801, 18723)",guy-making-race-and-nation-a-comparison-of-south-africa-the-united-states-and-brazil,74.2081447963801,18723,"('goldberg-book-reviewsmaking-race-and-nation-a-comparison-of-south-africa-the-united-states-and-brazil-by-anthony-w-marx-new-york-cambridge-university-press-1998-pp-xviii-390-29-95', 74.0506329113924, 28497)"
74,mathiak-krystyna-a-martin-klasen-mikhail-zvyagintsev-rene-weber-and-klaus,"('martin-property-tax-limitation-and-racial-inequality-in-effective-tax-rates', 50.0, 147608)",martin-property-tax-limitation-and-racial-inequality-in-effective-tax-rates,50.0,147608,"('costa-the-research-on-modernity-in-latin-america-lineages-and-dilemmas', 48.951048951048946, 140619)",costa-the-research-on-modernity-in-latin-america-lineages-and-dilemmas,48.951048951048946,140619,"('hicks-does-wal-mart-cause-an-increase-in-anti-poverty-expenditures', 48.92086330935251, 144414)"
75,mathiak-2013-neural-networks-underlying-affective-states-in-a-multimodal-virtual-environment-contributions-to-boredom-frontiers-in-human-neuroscience-7,"('bithas-critical-factors-for-an-effective-and-efficient-multi-modal-freight-transport-network-in-europe', 51.38339920948616, 135458)",bithas-critical-factors-for-an-effective-and-efficient-multi-modal-freight-transport-network-in-europe,51.38339920948616,135458,"('davies-captivating-behaviour-mouse-models-experimental-genetics-and-reductionist-returns-in-the-neurosciences', 50.76923076923077, 97926)",davies-captivating-behaviour-mouse-models-experimental-genetics-and-reductionist-returns-in-the-neurosciences,50.76923076923077,97926,"('dhakal-a-methodological-framework-for-ascertaining-the-social-capital-of-environmental-community-organisations-in-urban-australia', 50.0, 82438)"
76,mercer-lynn-kimberley-b-rachel-j-bar-and-john-d-eastwood-2014-causes-of-boredom-the-person-the-situation-or-both-personality-and-individual-differences,"('macmillan-violence-and-the-life-course-the-consequences-of-victimization-for-personal-and-social-development', 49.42084942084942, 3816)",macmillan-violence-and-the-life-course-the-consequences-of-victimization-for-personal-and-social-development,49.42084942084942,3816,"('lomi-why-are-some-more-peer-than-others-evidence-from-a-longitudinal-study-of-social-networks-and-individual-academic-performance', 49.28571428571429, 90563)",lomi-why-are-some-more-peer-than-others-evidence-from-a-longitudinal-study-of-social-networks-and-individual-academic-performance,49.28571428571429,90563,"('to-generational-differences-in-work-values-perceived-job-rewards-and-job-satisfaction-of-chinese-female-migrant-workers-implications-for-social-policy-and-social-services', 49.22118380062306, 57804)"
77,56-122-26,"('-contents-1992-2006', 42.85714285714286, 189376)",-contents-1992-2006,42.85714285714286,189376,"('-volume-26', 42.10526315789473, 137509)",-volume-26,42.10526315789473,137509,"('-peter-h-rossi-1921-2006', 36.36363636363637, 92670)"
78,miles-matthew-b-and-a-michael-huberman-1994-qualitative-data-analysis-an-expanded-sourcebook-thousand-oaks-calif-sage,"('miles-the-state-of-qualitative-data-analysis-software-what-do-we-need', 55.91397849462365, 140414)",miles-the-state-of-qualitative-data-analysis-software-what-do-we-need,55.91397849462365,140414,"('bauer-computer-aided-qualitative-data-analysis-theory-methods-and-practice', 54.45026178010471, 125431)",bauer-computer-aided-qualitative-data-analysis-theory-methods-and-practice,54.45026178010471,125431,"('clark-balancing-yin-and-yang-teaching-and-learning-qualitative-data-analysis-within-an-undergraduate-quantitative-data-analysis-course', 53.38645418326693, 121088)"
