,0
W2063332351,"In this article, we examine the conceptual models that help us understand the development and sustainability of scholarly and professional communication forums on the Internet, such as conferences, pre-print servers, field-wide data sets, and collaboratories. We first present and document the information processing model that is implicitly advanced in most discussions about scholarly communications-the Then we present an alternative model, one that considers information technologies as Socio-Technical Interaction Networks (STINs). STIN models provide a richer understanding of human behavior with online scholarly communications forums. They also help to further a more complete understanding of the conditions and activities that support the sustainability of these forums within a field than does the Standard Model. We illustrate the significance of STIN models with examples of scholarly communication forums drawn from the fields of high-energy physics, molecular biology, and information systems. The article also includes a method for modeling electronic forums as STINs."
W2031754690,"Objectives:This study was designed to document the state of open access (OA) in the biomedical field in 2005.Methods:PubMed was used to collect bibliographic data on target articles published in 2005. PubMed, Google Scholar, Google, and OAIster were then used to establish the availability of free full text online for these publications. Articles were analyzed by type of OA, country, type of article, impact factor, publisher, and publishing model to provide insight into the current state of OA.Results:Twenty-seven percent of all the articles were accessible as OA articles. More than 70% of the OA articles were provided through journal websites. Mid-rank commercial publishers often provided OA articles in OA journals, while society publishers tended to provide OA articles in the context of a traditional subscription model. The rate of OA articles available from the websites of individual authors or in institutional repositories was quite low.Discussion/Conclusions:In 2005, OA in the biomedical field was achieved under an umbrella of existing scholarly communication systems. Typically, OA articles were published as part of subscription journals published by scholarly societies. OA journals published by BioMed Central contributed to a small portion of all OA articles."
W2088230841,"The individual members of 35 UK learned societies were surveyed on their attitudes to open access (OA); 1,368 responses were received. Most respondents said they knew what OA was, and supported the idea of OA journals. However, although 60% said that they read OA journals and 25% that they published in them, in both cases around one-third of the journals named were not OA. While many were in favour of increased access through OA journals, concerns were expressed about the cost to authors, possible reduction in quality, and negative impact on existing journals, publishers, and societies. By contrast, less than half knew what self-archiving was; 36% thought it was a good idea and 50% were unsure. Just under half said they used repositories of self-archived articles, but 13% of references were not in fact to self-archiving repositories. 29% said they self-archived their own articles, but 10% of references were not to publicly accessible sites of any kind. The access and convenience of self-archiving repositories were seen as positive, but there were concerns about quality control, workload for authors and institutions, chaotic proliferation of versions, and potential damage to existing journals, publishers, and societies."
W2011443643,"The last few years have seen the emergence of several open access (OA) options in scholarly communication, which can be grouped broadly into two areas referred to as gold and green roads. Several recent studies have shown how large the extent of OA is, but there have been few studies showing the impact of OA in the visibility of journals covering all scientific fields and geographical regions. This research presents a series of informative analyses providing a broad overview of the degree of proliferation of OA journals in a data sample of about 17,000 active journals indexed in Scopus. This study shows a new approach to scientific visibility from a systematic combination of four databases: Scopus, the Directory of Open Access Journals, Rights Metadata for Open Archiving"
W2134049161,"Organizations are attempting to leverage their knowledge resources by employing knowledge management (KM) systems, a key form of which are electronic knowledge repositories (EKRs). A large number of KM initiatives fail due to the reluctance of employees to share knowledge through these systems. Motivated by such concerns, this study formulates and tests a theoretical model to explain EKR usage by knowledge contributors. The model employs social exchange theory to identify cost and benefit factors affecting EKR usage, and social capital theory to account for the moderating influence of contextual factors. The model is validated through a large-scale survey of public sector organizations. The results reveal that knowledge self-efficacy and enjoyment in helping others significantly impact EKR usage by knowledge contributors. Contextual factors (generalized trust, pro-sharing norms, and identification) moderate the impact of codification effort, reciprocity, and organizational reward on EKR usage, respectively. It can be seen that extrinsic benefits (reciprocity and organizational reward) impact EKR usage contingent on particular contextual factors whereas the effects of intrinsic benefits (knowledge self-efficacy and enjoyment in helping others) on EKR usage are not moderated by contextual factors. The loss of knowledge power and image do not appear to impact EKR usage by knowledge contributors. Besides contributing to theory building in KM, the results of this study inform KM practice."
W2737712680,"The website Sci-Hub provides access to scholarly literature via full text PDF downloads. The site enables users to access articles that would otherwise be paywalled. Since its creation in 2011, Sci-Hub has grown rapidly in popularity. However, until now, the extent of Sci-Hub's coverage was unclear. As of March 2017, we find that Sci-Hub's database contains 68.9% of all 81.6 million scholarly articles, which rises to 85.2% for those published in closed access journals. Furthermore, Sci-Hub contains 77.0% of the 5.2 million articles published by inactive journals. Coverage varies by discipline, with 92.8% coverage of articles in chemistry journals compared to 76.3% for computer science. Coverage also varies by publisher, with the coverage of the largest publisher, Elsevier, at 97.3%. Our interactive browser at https://greenelab.github.io/scihub allows users to explore these findings in more detail. Finally, we estimate that over a six-month period in 2015–2016, Sci-Hub provided access for 99.3% of valid incoming requests. Hence, the scope of this resource suggests the subscription publishing model is becoming unsustainable. For the first time, the overwhelming majority of scholarly literature is available gratis to anyone with an Internet connection."
W2003844967,"The paper reviews recent studies that evaluate the impact of free access (open access) on the behavior of scientists as authors, readers, and citers in developed and developing nations. It also examines the extent to which the biomedical literature is used by the general public.The paper is a critical review of the literature, with systematic description of key studies.Researchers report that their access to the scientific literature is generally good and improving. For authors, the access status of a journal is not an important consideration when deciding where to publish. There is clear evidence that free access increases the number of article downloads, although its impact on article citations is not clear. Recent studies indicate that large citation advantages are simply artifacts of the failure to adequately control for confounding variables. The effect of free access on the general public's use of the primary medical literature has not been thoroughly evaluated.Recent studies provide little evidence to support the idea that there is a crisis in access to the scholarly literature. Further research is needed to investigate whether free access is making a difference in non-research contexts and to better understand the dissemination of scientific literature through peer-to-peer networks and other informal mechanisms."
W1970217003,"<b>Objective</b> To measure the effect of free access to the scientific literature on article downloads and citations. <b>Design</b> Randomised controlled trial. <b>Setting</b> 11 journals published by the American Physiological Society. <b>Participants</b> 1619 research articles and reviews. <b>Main outcome measures</b> Article readership (measured as downloads of full text, PDFs, and abstracts) and number of unique visitors (internet protocol addresses). Citations to articles were gathered from the Institute for Scientific Information after one year. <b>Interventions</b> Random assignment on online publication of articles published in 11 scientific journals to open access (treatment) or subscription access (control). <b>Results</b> Articles assigned to open access were associated with 89% more full text downloads (95% confidence interval 76% to 103%), 42% more PDF downloads (32% to 52%), and 23% more unique visitors (16% to 30%), but 24% fewer abstract downloads (−29% to −19%) than subscription access articles in the first six months after publication. Open access articles were no more likely to be cited than subscription access articles in the first year after publication. Fifty nine per cent of open access articles (146 of 247) were cited nine to 12 months after publication compared with 63% (859 of 1372) of subscription access articles. Logistic and negative binomial regression analysis of article citation counts confirmed no citation advantage for open access articles. <b>Conclusions</b> Open access publishing may reach more readers than subscription access publishing. No evidence was found of a citation advantage for open access articles in the first year after publication. The citation advantage from open access reported widely in the literature may be an artefact of other causes."
W2088909840,"Previous investigations into the impact of open-access journals on subsequent citations confounded open and electronic access and failed to track availability over time. With new data, we separated these effects. We demonstrate that a journal receives a modest increase in citations when it comes online freely, but the jump is larger when it first comes online through commercial sources. This effect reverses for poor countries where free-access articles are much more likely to be cited. Together, findings suggest that free Internet access widens the circle of those who read and make use of scientists' investigations."
W2137725064,"It has been shown (S. Lawrence, 2001, Nature, 411, 521) that journal articles which have been posted without charge on the internet are more heavily cited than those which have not been. Using data from the NASA Astrophysics Data System (ads.harvard.edu) and from the ArXiv e-print archive at Cornell University (arXiv.org) we examine the causes of this effect."
W3147537460,"This article uses an evidence-based approach to assess the difficulties faced by developing country scientists in accessing scientific literature. I compare the backward citation patterns of Swiss and Indian scientists in a database of 43,150 scientific papers published by scientists from either country in 2007. Controlling for fields and quality with citing journal fixed effects, I find that Indian scientists have shorter reference lists (−6%) and are more likely to cite articles from open access journals (+50%). Moreover, the difference in the length of the reference list is more pronounced in biology and medicine, where circulation of (free) preprints and conference proceedings is non-existent. Informal file-sharing practices among scientists mitigate the effects of access restrictions."
W1767272795,"Bibliometric methods are used in multiple fields for a variety of purposes, namely for research evaluation. Most bibliometric analyses have in common their data sources: Thomson Reuters' Web of Science (WoS) and Elsevier's Scopus. This research compares the journal coverage of both databases in terms of fields, countries and languages, using Ulrich's extensive periodical directory as a base for comparison. Results indicate that the use of either WoS or Scopus for research evaluation may introduces biases that favor Natural Sciences and Engineering as well as Biomedical Research to the detriment of Social Sciences and Arts and Humanities. Similarly, English-language journals are overrepresented to the detriment of other languages. While both databases share these biases, their coverage differs substantially. As a consequence, the results of bibliometric analyses may vary depending on the database used."
W4240507605,"This article statistically analyzes how the citation impact of articles deposited in the Condensed Matter section of the preprint server ArXiv (hosted by Cornell University), and subsequently published in a scientific journal, compares to that of articles in the same journal that were not deposited in the archive. Its principal aim is to further illustrate and roughly estimate the effect of two factors, “early view” and “quality bias,” on differences in citation impact between these two sets of papers, using citation data from Thomson Scientific's Web of Science. It presents estimates for a number of journals in the field of condensed matter physics. To discriminate between an “open access” effect and an early view effect, longitudinal citation data were analyzed covering a time period as long as 7 years. Quality bias was measured by calculating ArXiv citation impact differentials at the level of individual authors publishing in a journal, taking into account coauthorship. The analysis provided evidence of a strong quality bias and early view effect. Correcting for these effects, there is in a sample of six condensed matter physics journals studied in detail no sign of a general “open access advantage” of papers deposited in ArXiv. The study does provide evidence that ArXiv accelerates citation due to the fact that ArXiv makes papers available earlier rather than makes them freely available."
W2753353163,"In 1982, the Annals of Virology published a paper showing how Liberia has a highly endemic potential of Ebola warning health authorities of the risk for potential outbreaks; this journal is only available by subscription. Limiting the accessibility of such knowledge may have reduced information propagation toward public health actors who were indeed surprised by and unprepared for the 2014 epidemic. Open access (OA) publication can allow for increased access to global health research (GHR). Our study aims to assess the use, cost and impact of OA diffusion in the context of GHR.A total of 3366 research articles indexed under the Medical Heading Subject Heading ""Global Health"" published between 2010 and 2014 were retrieved using PubMed to (1) quantify the uptake of various types of OA, (2) estimate the article processing charges (APCs) of OA, and (3) analyse the relationship between different types of OA, their scholarly impact and gross national income per capita of citing countries.Most GHR publications are not available directly on the journal's website (69%). Further, 60.8% of researchers do not self-archive their work even when it is free and in keeping with journal policy. The total amount paid for APCs was estimated at US$1.7 million for 627 papers, with authors paying on average US$2732 per publication; 94% of APCs were paid to journals owned by the ten most prominent publication houses from high-income countries. Researchers from low- and middle-income countries are generally citing less expensive types of OA, while researchers in high-income countries are citing the most expensive OA.Although OA may help in building global research capacity in GHR, the majority of publications remain subscription only. It is logical and cost-efficient for institutions and researchers to promote OA by self-archiving publications of restricted access, as it not only allows research to be cited by a broader audience, it also augments citation rates. Although OA does not ensure full knowledge transfer from research to practice, limiting public access can negatively impact implementation and outcomes of health policy and reduce public understanding of health issues."
W2061451796,"The shift towards the use of electronic media in scholarly communication appears to be an inescapable imperative. However, these shifts are uneven, both with respect to field and with respect to the form of communication. Different scientific fields have developed and use distinctly different communicative forums, both in the paper and electronic arenas, and these forums play different communicative roles within the field. One common claim is that we are in the early stages of an electronic revolution, that it is only a matter of time before other fields catch up with the early adopters, and that all fields converge on a stable set of electronic forums. A social shaping of technology (SST) perspective helps us to identify important social forces—centered around disciplinary constructions of trust and of legitimate communication—that pull against convergence. This analysis concludes that communicative plurality and communicative heterogeneity are durable features of the scholarly landscape, and that we are likely to see field differences in the use of and meaning ascribed to communications forums persist, even as overall use of electronic communications technologies both in science and in society as a whole increases."
W2015134878,"Evaluation of published medical research remains a challenge. Two classic yardsticks are the citation count (the number of times a given paper is cited by others)1 2 and the impact factor of the journal that published the paper (which reflects the average number of citations per article).2 3 However, the citation count can be assessed only several years after publication, and the impact factor is not paper specific and is thus virtually meaningless in assessing any given paper.3 Another measure, which can be obtained rapidly and is paper specific, is the “hit count” (the number of times a paper is accessed online). Whether this count predicts citations is unknown. I examined this issue prospectively in a cohort of papers published in the BMJ .

The study used articles published in volume 318 of the BMJ (1999) in sections titled Papers, General Practice, and Information in Practice. The hit counts (full text articles, HTML version) for the main body of each article within a week of publication were provided by a …"
W2563251083,"Digital object identifiers (DOIs) were launched in 1997 to facilitate the long-term access and identification of objects in digital environments. The objective of the present investigation is to assess the DOI availability of articles in biomedical journals indexed in the PubMed database and to complete this investigation with a geographical analysis of journals by the country of publisher. Articles were randomly selected from PubMed using their PubMed identifier and were downloaded from and processed through developed Hypertext Preprocessor language scripts. The first part of the analysis focuses on the period 1966–2015 (50 years). Of the 496,665 articles studied over this period, 201,055 have DOIs (40.48%). Results showed that the percentage of articles with DOIs began to increase for articles published in the 2000s, with spectacular growth in the years 2002–2003, then reached a peak in 2015. Data on countries showed that some countries gradually implemented DOIs over the period 1966 to 2015 (the United States, the United Kingdom, and the Netherlands), while some did not (Russia, the Czech Republic, and Romania). The second part of the analysis focuses on the year 2015 and includes 268,790 articles published in 2015, randomly selected to evaluate the current implementation of DOIs. In 2015, 86.42% of articles had DOIs. The geographical analysis of countries of publishers showed that some countries (Russia, Thailand, and Ukraine) still assigned few DOIs to articles in 2015. Thus, if the scientific community aims to increase the number and the usefulness of services rendered by DOIs, efforts must be made to generalize their use by all persons involved in scientific publication, particularly publishers."
W1987360189,"This article investigates the awareness of scholarly authors toward open access repositories and the factors that motivate their use of these repositories. The article reports on the findings obtained from a mixed methods approach which involved a questionnaire returned by over 3000 respondents, supplemented by four focus groups held across Europe in the summer 2009. The research found that although there was a good understanding and appreciation of the ethos of open access in general, there were clear differences between scholars from different disciplinary backgrounds in their understanding of open access repositories and their motivations for depositing articles within them. This research forms the first part of a longitudinal study that will track the changing behaviors and attitudes of authors toward open access repositories."
W2953072907,"<ns4:p>Despite the growth of Open Access, potentially illegally circumventing paywalls to access scholarly publications is becoming a more mainstream phenomenon. The web service Sci-Hub is amongst the biggest facilitators of this, offering free access to around 62 million publications. So far it is not well studied how and why its users are accessing publications through Sci-Hub. By utilizing the recently released corpus of Sci-Hub and comparing it to the data of ~28 million downloads done through the service, this study tries to address some of these questions. The comparative analysis shows that both the usage and complete corpus is largely made up of recently published articles, with users disproportionately favoring newer articles and 35% of downloaded articles being published after 2013. These results hint that embargo periods before publications become Open Access are frequently circumnavigated using Guerilla Open Access approaches like Sci-Hub. On a journal level, the downloads show a bias towards some scholarly disciplines, especially Chemistry, suggesting increased barriers to access for these. Comparing the use and corpus on a publisher level, it becomes clear that only 11% of publishers are highly requested in comparison to the baseline frequency, while 45% of all publishers are significantly less accessed than expected. Despite this, the oligopoly of publishers is even more remarkable on the level of content consumption, with 80% of all downloads being published through only 9 publishers. All of this suggests that Sci-Hub is used by different populations and for a number of different reasons, and that there is still a lack of access to the published scientific record. A further analysis of these openly available data resources will undoubtedly be valuable for the investigation of academic publishing.</ns4:p>"
W2115339903,"Open access (OA) is a revolutionary way of providing access to the scholarly journal literature made possible by the Internet. The primary aim of this study was to measure the volume of scientific articles published in full immediate OA journals from 2000 to 2011, while observing longitudinal internal shifts in the structure of OA publishing concerning revenue models, publisher types and relative distribution among scientific disciplines. The secondary aim was to measure the share of OA articles of all journal articles, including articles made OA by publishers with a delay and individual author-paid OA articles in subscription journals (hybrid OA), as these subsets of OA publishing have mostly been ignored in previous studies. Stratified random sampling of journals in the Directory of Open Access Journals (n = 787) was performed. The annual publication volumes spanning 2000 to 2011 were retrieved from major publication indexes and through manual data collection. An estimated 340,000 articles were published by 6,713 full immediate OA journals during 2011. OA journals requiring article-processing charges have become increasingly common, publishing 166,700 articles in 2011 (49% of all OA articles). This growth is related to the growth of commercial publishers, who, despite only a marginal presence a decade ago, have grown to become key actors on the OA scene, responsible for 120,000 of the articles published in 2011. Publication volume has grown within all major scientific disciplines, however, biomedicine has seen a particularly rapid 16-fold growth between 2000 (7,400 articles) and 2011 (120,900 articles). Over the past decade, OA journal publishing has steadily increased its relative share of all scholarly journal articles by about 1% annually. Approximately 17% of the 1.66 million articles published during 2011 and indexed in the most comprehensive article-level index of scholarly articles (Scopus) are available OA through journal publishers, most articles immediately (12%) but some within 12 months of publication (5%). OA journal publishing is disrupting the dominant subscription-based model of scientific publishing, having rapidly grown in relative annual share of published journal articles during the last decade."
W2511661767,"Many studies show that open access (OA) articles-articles from scholarly journals made freely available to readers without requiring subscription fees-are downloaded, and presumably read, more often than closed access/subscription-only articles. Assertions that OA articles are also cited more often generate more controversy. Confounding factors (authors may self-select only the best articles to make OA; absence of an appropriate control group of non-OA articles with which to compare citation figures; conflation of pre-publication vs. published/publisher versions of articles, etc.) make demonstrating a real citation difference difficult. This study addresses those factors and shows that an open access citation advantage as high as 19% exists, even when articles are embargoed during some or all of their prime citation years. Not surprisingly, better (defined as above median) articles gain more when made OA."
W2002034968,"The use of citation counts to assess the impact of research articles is well established. However, the citation impact of an article can only be measured several years after it has been published. As research articles are increasingly accessed through the Web, the number of times an article is downloaded can be instantly recorded and counted. One would expect the number of times an article is read to be related both to the number of times it is cited and to how old the article is. The authors analyze how short-term Web usage impact predicts medium-term citation impact. The physics e-print archive—arXiv.org—is used to test this."
W4254015553,"The research access/impact problem arises because journal articles are not accessible to all of their would-be users; hence, they are losing potential research impact. The solution is to make all articles open access (OA, i.e., accessible online, free for all). OA articles have significantly higher citation impact than non-OA articles. There are two roads to OA: the “golden” road (publish your article in an OA journal) and the “green” road (publish your article in a non-OA journal but also self-archive it in an OA archive). About 10% of journals are gold, but over 90% are already green (i.e., they have given their authors the green light to self-archive); yet only about 10–20% of articles have been self-archived. To reach 100% OA, self-archiving needs to be mandated by researchers’ employers and funders, as they are now increasingly beginning to do."
W1842065797,"Implementing open access is a tough job. Legitimate authority, sufficient resources and the right timing are crucial. Pioneers, role models and flagship institutions all have faced considerable challenges in meeting their own aims and achieving a recognized success. Professionals charged with implementing policy typically need several years to accomplish significant progress. Many institutions adopting open access policies probably need to do more, much more, if the commitment to open access is to be meaningful. A first generation of open access policy development and implementation is coming to a close. It is thus possible to begin evaluation. Evaluating implementation establishes evidence, enables reflection, and may foster the emergence of a second generation of open access policies. This study is based on a small number of cases, examining the implementation of open access around the world. Some of the pioneer institutions with open access mandates have been included, as well as some newer cases. The emergence of the new stakeholders in publishing is examined, such as digital repositories, research funders and research organisations. Because this is a groundbreaking study, no claim is made that the results are representative. The emphasis is on variety and on defining a methodological standard. Each case is reconstructed individually on the basis of public documents and background information, and supported by interviews with professionals responsible for open access implementation. Implementation is typically based on targeting researchers as authors. Indeed, the author is pivotal to any open access solution. This is the ‘tertium comparationis’ that facilitates an examination of the similarities and differences across instances in an effort to build a broader policy research agenda. In a final section, open access is placed in the wider context of the evolution of digital scholarship. This clarifies how published research results are destined to become a key component of digital research infrastructures that provide inputs and outputs for research, teaching and learning in real time. The ten cases examined in detail are: - Refining green open access policy: Queensland University of Technology (September 2003) - Refining policy to foster deposit: University of Zurich (July 2005) - National platform, open collection, decentralized policy: the HAL platform (June-October 2006) - Maximising a funder’s impact: The Wellcome Trust (October 2006) - Implementing open access as a digital infrastructure: UK PMC (January 2007) - Learning from global research infrastructure: SCOAP3 (April 2007) - Linking public access to open data: Howard Hughes Medical Institute (January 2008) - Open access to all publications, internationally: Austrian Science Fund (FWF, March 2008) - One policy, sixty publication strategies: Fraunhofer-Gesellschaft (July 2008) - Open Access complements the Research Information System: The University of Pretoria (May 2009)"
W2306268324,"Open electronic access to scientific publications (OA) is an ambitious vision, which has engendered a ‘movement’ trying to influence the operation of a particular niche market: the dissemination and sale of peer-reviewed scholarly articles. Over the past 20 years, OA advocacy has inspired the actions of many stakeholders involved in this process, including academics who have founded OA journals, publishers who have started OA journals using innovative business models, librarians who have launched repositories for housing OA copies of article manuscripts, and research funders and policymakers who have defined mandates requiring open access to the results of largely publicly funded research. There are, however, internal schisms within the movement, particularly concerning the way to reach full-scale OA. Some advocate journals converting to OA and the creation of new OA journals (gold OA) as the primary route, others a symbiosis of subscription journals and self-archiving of OA copies in repositories (green OA). All in all, the results have, to some degree, been disappointing and progress towards total OA slow. Compared to the earlier situation on which much of the OA discourse is based, the last couple of years have seen two important developments that have not been foreseen by many writing about the phenomenon. The first is the increased activities of major research funders, particularly in Europe, in the creation of earmarked budgets for the funding of gold OA articles for authors in the countries in question (e.g. see Frantsvåg, 2014). This has already increased the uptake of hybrid OA and is also influencing the strategies of the major publishers, who in addition to launching megajournals and converting individual journals to OA are starting to negotiate countrywide licensing agreements, which bundle big deal subscription access with APC payments for hybrid journals. If this development continues, the hybrid OA solution, which for a while appeared at a standstill, might after all provide a vehicle for the successful transformation of leading subscription publishers to OA publishers. As a result, the major subscription publishers could end up dominating the OA market, charging academia roughly the same amount of money for their services as before, and their profit levels would remain the same as before. In parallel with these developments, publishers have tightened the rules for authors posting OA copies of their articles in repositories, particularly in institutional repositories, which many OA advocates for years have marketed as the solution to rapidly achieving a high degree of OA. In particular, embargo periods of between 1 and 2 years have been imposed or lengthened by most major publishers (Kingsley, 2013). Even without such measures, institutional repositories have not been a huge success with authors despite a decade of infrastructure development. Instead academic social networks, such as ResearchGate, Mendeley, and Academia, have entered the market (Van Noorden, 2014) In contrast to an earlier generation of broad subject-based repositories, such as arXiv and SSRN, these are usually venture capital-funded commercial enterprises, often characterized by quite aggressive marketing. The ease of uploading even the published versions of articles to such sites has rapidly made them popular, especially with younger academics, as alternatives to institutional repositories. These two recent developments influence the progress of OA via the green and the gold routes. The effect of academic social networks is primarily one of substitution and internal competition for the attention of the authors, not offering a long-term solution. The effect of the ‘big deals 2.0’ may on the other hand, prove to be extremely important if this triggers a massive conversion of highly established journals to full OA. In the past couple of years, there have been an increasing number of press releases announcing deals between major publishers and university library consortia or research funders, which bundle multiyear subscription e-licences and APCs for hybrid journals. The UK and the Netherlands have been forerunners (Poynder, 2014; VSNU, 2015). The publishers appear poised to continue announcing such deals. A number of studies have been conducted in recent years trying to compare the costs to universities and their funders of hypothetical full-scale gold OA compared to the current subscription costs (Houghton et al., 2009; Schimmer, Geschuhn, & Vogler, 2015). Such studies often end up predicting that the costs would be lower than in the current system, often using empirical data on currently paid APCs as a basis. They also often recommend not accepting the higher APC levels that major publishers advocate as being required for publishing (and charge for hybrid OA articles). This illustrates a particular aspect of the agenda of the OA movement. Many advocates mix other goals with the primary goal of just making scholarly publications freely available to anybody with web access. The goal of curbing the price escalation of library subscriptions (the so-called serials crises) and decreasing the overall price of subscriptions + article charges to authors is understandably important to university librarians and university administrators. Many OA advocates are also fiercely criticizing the high profits earned by major publishing companies. In my opinion, if gold OA is to take off rapidly in the next few years, it can only come about via the major publishers massively converting their portfolios of established journals, not via authors choosing outlets among newly started OA journals. Judging from the past experience of how publishers have been able to dictate the terms of the big deals to hundreds of university libraries around the world, it is difficult to imagine that the latter would be able to forcefully press down the APC levels from the level the publishers judge necessary to continue at the same revenue levels. There are very important savings that can be achieved in the overall article dissemination process, which are overlooked if the analysis is only focused on the monetary expenditures on journal subscriptions and article-processing charges. First, if all journals were to be OA, there will no longer be any need for the work that libraries worldwide spend on planning, prioritizing, negotiating, and managing journal acquisitions, including setting up the internal portals that provide access to the researchers and students. The total costs of all of this are substantial over all the world's universities. The new cost of managing APC payments could be considerably lower. Second, all authors worldwide save a lot of work and time in accessing articles because tracking OA references is only one click away (when working from home, it often takes me 5 minutes of actions to retrieve an article that my university has a subscription to). This is not to mention articles I dont have a subscription access to, for which I might start searching the web for possible green OA copies or even emailing the authors to ask for a copy. Needless to say, summing up over millions of researchers with hundreds of articles each per year, this is a real cost, but one which does not show up in any formal budgets. The third category is the most difficult one to estimate but also perhaps the most important. Economists talk of opportunity cost of the value of an alternative foregone. This equates to the loss of potential impact of articles, which are not read at all because of readers hitting subscription or pay-per-view barriers (the major motivation for OA to start with). This is particularly important for reference tracking because already cited articles are likely to have an above-average scientific contribution. It is this author's opinion that even at a cost (in terms of APC payments) equal to current subscription charges, science, education, and industrial development are much better off with full OA and that there has been too much emphasis in the OA debates on curbing the monetary costs to university libraries and on opposing the oligopolistic profit levels of the big publishers. The big picture is what matters to society. The rapidly growing popularity of academic social networks (e.g. ResearchGate) as a place for authors to post copies of their articles was not foreseen. It appears that these networks, through their general appeal and other services as well as the ease of uploading potentially illegal publishers’ versions of the articles, are starting to become more attractive than the more strictly curated institutional repositories. In a project at my university Hanken, a small Finnish business school, the OA status of all 587 international peer review articles published by our faculty in 2012–2014 was manually checked in mid-2015. Of the articles, 8% had been published in OA journals or were for some other reason available freely at the publisher's website. For an additional 34%, an OA copy could be found somewhere. What was interesting about these copies (some of which were overlapping) was their spread over personal web pages, subject repositories, IRs of other universities, our own IR, and academic social networks. There were green versions of 58 articles in Hanken's own IR, most of which were accepted versions. The number of copies in academic social networks clearly outnumbered these with 93 copies, 70 of which were the publishers’ versions of record! Results indicating the popularity of academic social networks have also been demonstrated recently in a more systematic study of articles from the UK universities (RIN, 2015). The scenario of predominant subscription access in symbiosis with an almost 100% OA achieved via self-archiving in institutional and subject repositories, such as arXiv and PMC (partly as publishers depositions), has always to me appeared highly unlikely (see also Eisen, 2015). One thing is that such repositories have to respect the publishing licences of the uploaded articles. As long as the upload shares have been low, fairly liberal rules have prevailed, but recently, publishers have started to impose longer and stricter embargoes in order to increase the attractiveness of their hybrid offerings. For a while, Elsevier, for instance, had a rule that uploading to an IR was allowed but only if voluntary, not in case the university in question had a mandate! This highlights very clearly that publishers have tolerated IRs only as long as upload shares have been low but will tighten the screw via embargo periods and so on as soon as there is any risk to their subscription income or if they want to steer authors to use the hybrid option instead. Getting universities to put in place effective OA mandates also appears difficult due to the complex negotiation and internal lobbying processes required. Mandates only cover a part of all article output despite impressive growth in the number of mandates and OA policies recorded in the ROARMAP registry. What matters more than the total number of universities is the number of articles these mandates apply to of the global journal output of journal articles. There are also big variations in effectiveness between just guidelines recommending uploads and one requiring it (Swan, Gargouri, Hunt, & Harnad, 2015). Perhaps most importantly, the difficulties of getting authors to format their articles, check the often complex and obscure licences, and of finding the time to do the uploading of the manuscripts and the metadata have been underestimated. This is becoming quite evident in the interviews we have conducted with authors at our university. Even if the IR is in place, has instructions, and the university possibly even has an OA policy, the authors largely dont do it because this has low priority for them. Many of the researchers we interviewed were unable to even reconstruct the accepted version of the manuscript, which would be the basis for the upload. No wonder many find it so much easier to just rapidly post a copy of the published PDF in an academic social network, no questions about the legality asked. Academic social networks may, for the time being, overshadow IRs as the leading green OA vehicle, but they are highly volatile, and their long-term popularity is by no means guaranteed. Like earlier third-party sites for downloading copies of music and films, they move in a legally risky grey zone. At any time, publishers might come after them with law-suits and/or massive take down notices (Robinson, 2014). Their business model is often to be sold when the market value of their customer base is big enough. Their marketing practices of spamming academics with invitations seemingly sent out by colleagues (just got one as I'm writing this) are not much better than the practices of predatory publishers. Of the two developments discussed in this article, the emerging shift in gold OA towards the big established publishers is by far the more important. Much depends on whether and how rapidly the publishers can negotiate a critical mass of big deals, bundling subscription access with hybrid (and full) OA. Already ,countries like the UK and Netherlands are well on their way, and many other European countries have the necessary infrastructure of national library consortia handling nationwide negotiations with the publishers. China probably has a political infrastructure, which would facilitate rapid top–down decision making. If and when a tipping point of the articles published by the major publishers being OA in hybrid journal is reached, things could start moving rapidly. In an article, Prosser, 2003, outlined this scenario 13 years ago, and he might be proven right. I would like to finish off on a personal note. What has attracted me for 20 years to the notion of OA is its simplicity, which is almost beautiful and makes so many intermediaries unnecessary. Every scholarly article is available to everybody, only one click away from a Google search or a reference. There is no fuss about what you can do and cannot do with the article or any need for registration to read. Thus, to me, as for the vast majority of readers, it does not matter if there is a licence (i.e. creative commons) or not. The article is just there, for you to read, print out, and perhaps send to a colleague. How this, in the end, will be achieved matters less to me than getting there; the marketplace in a wide sense, including many groups of stakeholders, will decide this. B.-C. Björk"
W2029057325,"Delayed open access (OA) refers to scholarly articles in subscription journals made available openly on the web directly through the publisher at the expiry of a set embargo period. Although a substantial number of journals have practiced delayed OA since they started publishing e-versions, empirical studies concerning OA have often overlooked this body of literature. This study provides comprehensive quantitative measurements by identifying delayed OA journals and collecting data concerning their publication volumes, embargo lengths, and citation rates. Altogether, 492 journals were identified, publishing a combined total of 111,312 articles in 2011; 77.8% of these articles were made OA within 12 months from publication, with 85.4% becoming available within 24 months. A journal impact factor analysis revealed that delayed OA journals have citation rates on average twice as high as those of closed subscription journals and three times as high as immediate OA journals. Overall, the results demonstrate that delayed OA journals constitute an important segment of the openly available scholarly journal literature, both by their sheer article volume and by including a substantial proportion of high-impact journals."
